"country","percUrban","urbRate20to25","pop2022"
"Thailand","0.5290","0.0143","71697030"
"Ivory Coast","0.5270","0.0338","28160542"
"Guatemala","0.5270","0.0259","17843908"
"Uzbekistan","0.5050","0.0125","34627652"
"Bosnia and Herzegovina","0.4980","0.0061","3233526"
"Benin","0.4950","0.0374","13352864"
"British Virgin Islands","0.4930","0.0173","31305"
"Senegal","0.4910","0.0359","17316449"
"Philippines","0.4800","0.0204","115559009"
"Niue","0.4760","0.0143","1934"
"Somalia","0.4730","0.0420","17597511"
"DR Congo","0.4680","0.0433","99010212"
"Belize","0.4640","0.0230","405272"
"Zambia","0.4580","0.0415","20017675"
"Mali","0.4540","0.0457","22593590"
"Guinea-Bissau","0.4500","0.0322","2105566"
"Aruba","0.4410","0.0077","106445"
"Togo","0.4390","0.0360","8848699"
"Sierra Leone","0.4380","0.0302","8605718"
"Bhutan","0.4370","0.0252","782455"
"Moldova","0.4320","0.0009","3272996"
"Central African Republic","0.4310","0.0332","5579144"
"Egypt","0.4300","0.0190","110990103"
"Faroe Islands","0.4280","0.0089","53090"
"Eritrea","0.4260","0.0367","3684032"
"Maldives","0.4150","0.0234","523787.0000"
"Mauritius","0.4080","0.0028","1299469"
"Madagascar","0.3990","0.0426","29611714"
"Bangladesh","0.3970","0.0288","171186372"
"Yemen","0.3920","0.0371","33696614"
"Vietnam","0.3880","0.0270","98186856"
"Mozambique","0.3820","0.0424","32969518.0000"
"Pakistan","0.3770","0.0210","235824862"
"Guinea","0.3770","0.0364","13859341"
"Laos","0.3760","0.0299","7529475"
"Kyrgyzstan","0.3750","0.0205","6630623"
"Grenada","0.3690","0.0086","125438"
"Tanzania","0.3670","0.0489","65497748"
"Sudan","0.3600","0.0343","46874204"
"India","0.3590","0.0233","1417173173"
"Zimbabwe","0.3240","0.0241","16320537"
"Timor-Leste","0.3210","0.0331","1341296"
"Burkina Faso","0.3190","0.0475","22673762"
"Myanmar","0.3180","0.0185","54179306"
"Barbados","0.3130","0.0046","281635"
"Jersey","0.3110","0.0068","110778"
"Guernsey","0.3110","0.0068","63301"
"Saint Kitts and Nevis","0.3100","0.0106","47657"
"Lesotho","0.2990","0.0277","2305825"
"Comoros","0.2990","0.0297","836774"
"Kenya","0.2900","0.0409","54027487"
"Tajikistan","0.2800","0.0273","9952787"
"Guyana","0.2700","0.0101","808726"
"Afghanistan","0.2660","0.0334","41128771"
"Uganda","0.2620","0.0541","47249585"
"Vanuatu","0.2580","0.0255","326740"
"Solomon Islands","0.2560","0.0357","724273"
"Cambodia","0.2510","0.0306","16767842"
"Eswatini","0.2460","0.0242","1201670"
"Antigua and Barbuda","0.2430","0.0087","93763"
"Chad","0.2410","0.0410","17723315"
"Micronesia","0.2320","0.0152","114164"
"Tonga","0.2310","0.0099","106858"
"Ethiopia","0.2270","0.0440","123379924"
"Nepal","0.2150","0.0309","30547580"
"South Sudan","0.2080","0.0412","10913164"
"Sri Lanka","0.1900","0.0122","21832143"
"Saint Lucia","0.1900","0.0098","179857"
"Malawi","0.1800","0.0441","20405317"
"Rwanda","0.1770","0.0307","13776698"
"Samoa","0.1760","-0.0003","222382"
"Niger","0.1690","0.0472","26207977"
"Liechtenstein","0.1450","0.0115","39327"
"Burundi","0.1440","0.0543","12889576"
"Papua New Guinea","0.1360","0.0291","10142619"
"Montserrat","0.0920","0.0094","4390"
"Wallis and Futuna","0","0","11572"
"Tokelau","0","0","1871"
