"rank","country","iq","pop2022"
"172","Cameroon","67.7600","27914536"
"173","Somalia","67.6700","17597511"
"174","Morocco","67.0300","37457971"
"175","Namibia","66.1900","2567012"
"176","Dominica","66.0300","72737"
"177","Sao Tome and Principe","65.2200","227380"
"178","DR Congo","64.9200","99010212"
"179","Saint Vincent and the Grenadines","63.4200","103948"
"180","Republic of the Congo","62.9700","5970424"
"181","Gabon","62.9700","2388992"
"182","Yemen","62.8600","33696614"
"183","Central African Republic","62.5500","5579144"
"184","Belize","62.5500","405272"
"185","Honduras","62.1600","10432860"
"186","Togo","59.8300","8848699"
"187","Mali","59.7600","22593590"
"188","Mauritania","59.7600","4736139"
"189","South Sudan","58.6100","10913164"
"190","Ghana","58.1600","33475870.0000"
"191","Ivory Coast","58.1600","28160542"
"192","Guinea","53.4800","13859341"
"193","Nicaragua","52.6900","6948392"
"194","Gambia","52.6800","2705992"
"195","Cape Verde","52.5000","593149"
"196","Guatemala","47.7200","17843908"
"197","Sierra Leone","45.0700","8605718"
"198","Liberia","45.0700","5302681"
"199","Nepal","42.9900","30547580"
